bundle_asset_id,product_asset_id
B_00be601cabec,I_4f98457b567a
B_00be601cabec,I_7d1a2fd4f275
B_00be601cabec,I_9ec51cb7edc7
B_00be601cabec,I_b75d085333e9
B_00be601cabec,I_e519623e1a03
B_00efaa88351d,I_30bec486edb5
B_00efaa88351d,I_6f93c289ef4e
B_00efaa88351d,I_baa9d46f32bc
B_00efaa88351d,I_cce24bb7399e
B_00fb011f20ae,I_0cdb4e463f01
B_00fb011f20ae,I_1fe832fffb92
B_00fb011f20ae,I_5612621db5f9
B_00fb011f20ae,I_697c553a150e
B_00fb011f20ae,I_765c35bb0422
B_00fb011f20ae,I_905dc7e81078
B_00fb011f20ae,I_f1d6623edc6e
B_00fb011f20ae,I_fe91393ac4b9
B_00fc64a41bbc,I_1e648ed35f1d
B_00fc64a41bbc,I_38e69bad5283
B_00fc64a41bbc,I_78da5c04b312
B_00fc64a41bbc,I_88987a1dbc67
B_00fc64a41bbc,I_cdd6c6b26f6b
B_00fc64a41bbc,I_d07edd4a9b6b
B_00fc64a41bbc,I_e3a92d8a555e
B_00fc64a41bbc,I_fd5a422ae630
B_03f4266920d5,I_577101e6a433
B_03f4266920d5,I_9f38a173e76a
B_03f4266920d5,I_e03763554767
B_05164ac144ae,I_0cdb4e463f01
B_05164ac144ae,I_baa9d46f32bc
B_05164ac144ae,I_fd5a422ae630
B_06a21333b4d3,I_1040bb92e980
B_06a21333b4d3,I_1db428313bc8
B_06a21333b4d3,I_4c1da80e9a4e
B_06a21333b4d3,I_7953f44fa05a
B_06cb5c01bdbe,I_a532a19b5330
B_06cb5c01bdbe,I_e3f834e77d91
B_06f2da4220fb,I_6cb5708f3d95
B_06f2da4220fb,I_b4016074d3a2
B_06f2da4220fb,I_d0490917bc23
B_0918af535d78,I_09c52c5779dd
B_0918af535d78,I_1a3b525706a0
B_0918af535d78,I_2a77674f6d82
B_0918af535d78,I_38e69bad5283
B_0918af535d78,I_57df8044195d
B_0918af535d78,I_7792ab8df4b1
B_0918af535d78,I_dece03f0085e
B_0918af535d78,I_fd5a422ae630
B_095e0e154185,I_7156c2086984
B_095e0e154185,I_a98eeef5ba74
B_095e0e154185,I_d07edd4a9b6b
